Unnamed: 0	SLL10_LV	SLL10_RAA	SLL13_LV	SLL13_RAA	SLL18_LV	SLL18_RAA	SLL18_RV	SLL20_LV
ENSG00000165959	605.0	124.0	342.0	181.0	272.0	323.0	279.0	342.0
ENSG00000165966	0.0	66.0	24.0	60.0	6.0	43.0	7.0	4.0
ENSG00000165970	0.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0
ENSG00000165972	4.0	0.0	0.0	1.0	3.0	10.0	3.0	0.0
ENSG00000165973	0.0	0.0	11.0	0.0	0.0	3.0	0.0	2.0
ENSG00000165983	1142.0	548.0	765.0	482.0	754.0	1110.0	713.0	482.0
ENSG00000165985	0.0	11.0	34.0	38.0	0.0	21.0	4.0	12.0
ENSG00000165995	1979.0	1051.0	1095.0	1044.0	1299.0	1794.0	1154.0	1164.0
ENSG00000165996	2034.0	4113.0	1866.0	2231.0	2075.0	3756.0	1568.0	2156.0
ENSG00000165997	376.0	381.0	293.0	257.0	369.0	637.0	479.0	427.0
ENSG00000166002	617.0	729.0	340.0	365.0	279.0	794.0	192.0	597.0
ENSG00000166004	319.0	75.0	282.0	93.0	413.0	172.0	258.0	310.0
ENSG00000166012	410.0	313.0	402.0	247.0	461.0	485.0	234.0	351.0
ENSG00000166016	744.0	473.0	1015.0	692.0	843.0	675.0	554.0	1051.0
ENSG00000166024	396.0	124.0	378.0	255.0	383.0	321.0	234.0	419.0
ENSG00000166025	2392.0	1434.0	2264.0	1243.0	2889.0	3382.0	2250.0	2975.0
ENSG00000166033	3763.0	1424.0	4144.0	2889.0	3074.0	5073.0	1703.0	3899.0
ENSG00000166035	26.0	11.0	27.0	45.0	56.0	15.0	22.0	33.0
ENSG00000166037	1538.0	782.0	958.0	720.0	1244.0	1445.0	859.0	1069.0
ENSG00000166046	1200.0	216.0	1028.0	328.0	1923.0	530.0	1050.0	1434.0
ENSG00000166049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000166068	690.0	680.0	414.0	582.0	460.0	1361.0	860.0	660.0
ENSG00000166069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000166073	299.0	64.0	201.0	76.0	148.0	188.0	118.0	369.0
ENSG00000166086	1983.0	737.0	1480.0	1216.0	2015.0	2086.0	1462.0	1603.0
ENSG00000166090	0.0	2.0	1.0	14.0	1.0	14.0	0.0	0.0
ENSG00000166091	40.0	72.0	68.0	203.0	69.0	514.0	54.0	60.0
ENSG00000166104	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0
ENSG00000166105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000166106	718.0	110.0	1372.0	209.0	649.0	358.0	570.0	1358.0
ENSG00000166111	371.0	2.0	152.0	3.0	251.0	1.0	180.0	373.0
ENSG00000166118	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0
ENSG00000166123	970.0	62.0	842.0	151.0	1523.0	362.0	1031.0	738.0
ENSG00000166126	0.0	4.0	4.0	2.0	0.0	0.0	1.0	4.0
ENSG00000166128	332.0	411.0	242.0	424.0	269.0	1134.0	345.0	268.0
ENSG00000166130	186.0	264.0	198.0	272.0	110.0	328.0	111.0	262.0
ENSG00000166133	513.0	165.0	472.0	185.0	433.0	298.0	271.0	375.0
ENSG00000166135	3710.0	453.0	2554.0	728.0	3364.0	1440.0	2286.0	3466.0
ENSG00000166136	994.0	2577.0	546.0	851.0	694.0	1919.0	66.0	566.0
ENSG00000166140	782.0	228.0	580.0	250.0	564.0	537.0	407.0	574.0
